words,topic,category,replies,views

38,About the Distracted Driving category,None,2,1.4k

128,Snapchat Ends Speed Filter That Critics Say Encouraged Reckless Driving,None,2,191

1616,Driving while shooting!,None,25,2.0k

165,National Secure Your Load Day,None,4,243

1308,Who was driving?,None,27,2.0k

44,If you own a 2013-2015 Accord,None,1,225

1220,Are LED headlights ethical?,None,23,2.2k

735,Frame Rust Opinion,None,20,1.6k

709,James Ridgeway,None,4,337

1202,Safety course recommendation,None,14,667

559,What to do in a skid,None,8,409

1113,Henry Ford II on seat belts,None,18,3.2k

1031,McGyvering your headlights,None,17,860

120,Variable volume crossing warning,None,3,455

1219,Marijuana and driving,None,10,601

824,The Tesla that exploded,None,15,776

1435,Do not let moose lick your car.,None,20,869

268,SRS light on 2005 Honda Pilot,None,8,367

1249,06 Chevy Aveo traveling 2000 miles,None,18,691

444,Ran Over Object on Highway,None,5,448

1400,Fast Driving,None,13,776

285,Front braking sticks in hot weather,None,6,1.4k

2542,How we can help prevent children from dying in hot cars,None,32,2.8k

879,IIHS Data on auto fatalities,None,12,652

43,Engine-uity?,None,3,415

113,Lockdown causes organ shortage,None,3,323

1911,Women are safer drivers than men!,None,22,1.0k

273,Rubber: a movie about a homicidal car tire,None,9,560

1492,Was it because of Covid,None,17,519

1099,Even though the streets are deserted,None,13,687

2382,Watch out for those armored trucks!,None,23,1.0k

916,A Chronobiological Evaluation of the Acute Effects of Daylight Saving Time on Traffic Accident Risk,None,13,1.0k

83,An unusual safety recall,None,3,305

2340,Dangers of Driving While High,None,27,959

54,Kudos to the NJ State Police,None,2,305

533,Rust advice,None,9,368

1033,Shooting while driving,None,15,582

40, Another summit on global road safety? Key questions to ask ministers,None,2,254

170,"Coming soon, to streets near you",None,3,268

1281,Do Move Over laws cause as many incidents as they prevent?,None,24,4.1k

2596,Who would you least rather have behind you?,None,35,1.5k

29,Can anyone tell me what this is for or what its missing?,None,2,377

447,Passenger Seat belt,None,13,638

389,No more blind spots?,None,10,554

1207," Electric Cars Need to Make Noise for Safety, but What Kind?",None,19,1.4k

45,"Teenager Wins $25,000 for Science Project That Solves Blind Spots in Cars",None,2,374

1192,Breath Tests Aim to Stop Drunk Driving. Can We Trust the Results?,None,15,584

13,Testing Cars That Help Drivers Steer Clear of Pedestrians,None,1,257

1066,Dash Cams That Can Back You Up in an Accident,None,12,1.2k

2084,NPR reports on a system that detects whether a driver is drunk without the drivers participation,None,21,756

189,"Apparently, one more case of",None,6,428

1037,Flashing Your Headlights? Youre Probably Sending the Wrong Signals,None,20,3.0k

1042,Driving a horse buggy while drunk,None,15,587

634,"The harder I pressed on the brake, the faster it went",None,6,418

56,An Off-Road Thrill That Can End in Flames: The Polaris RZR,None,2,436

1519,Perhaps its time,None,25,1.7k

1299,Stopping a car with a stuck throttle,None,20,1.8k

2329,Driving and texting,None,28,1.7k

279,Road safety in Sudan ,None,6,439

110,Our Cars Are Trying to Keep Us Safe. Heres How.,None,4,431

598,"Detours, roadblocks, jams: the rough road to US car regulation",None,6,379

602,One more driver,None,13,430

5299,Im not against seatbelts,None,52,2.1k

1480,Deadly Convenience: Keyless Cars and Their Carbon Monoxide Toll,None,24,2.1k

1349,Distraction during maintenance procedures,None,17,642

1097,The result of attempting a right turn from the left lane,None,17,923

7368,Why we can - and must - create a fairer system of traffic enforcement,None,47,1.9k

356,"12-year-old charged with DWI while taking family car for joy ride with friends, police say",None,8,539

695,A close call for a classic car,None,5,493

494,Yet another driver,None,12,489

276,"High-Tech Collision Warnings, No Matter How Smart Your Car Is",None,5,409

428,A new achievement in distracted driving!,None,16,516

